iter	Logloss
0	0.6858014785
1	0.6808555841
2	0.672330855
3	0.6644214826
4	0.6579704214
5	0.649491065
6	0.6423263173
7	0.6351494943
8	0.6283718916
9	0.6218574155
10	0.6160680311
11	0.6099730487
12	0.604704037
13	0.5978725648
14	0.5922079306
15	0.5875137908
16	0.5816740479
17	0.5762440559
18	0.5704764044
19	0.5640130071
20	0.5611401107
21	0.5573303274
22	0.551616154
23	0.5471040827
24	0.5404623503
25	0.5361891611
26	0.5314264759
27	0.5269721858
28	0.5231391381
29	0.5189153479
30	0.5143159463
31	0.5090584004
32	0.5039851049
33	0.5004097688
34	0.4960498847
35	0.4923459355
36	0.4880070858
37	0.4832336369
38	0.4802296548
39	0.4781814294
40	0.4742489949
41	0.4700219716
42	0.4664796145
43	0.4619846465
44	0.4582981674
45	0.4550509736
46	0.4521076821
47	0.4485184838
48	0.4442876036
49	0.4406434591
50	0.4376139324
51	0.4354377933
52	0.4321132012
53	0.4294777243
54	0.4271458291
55	0.4247061491
56	0.4212200539
57	0.4182140416
58	0.4152407307
59	0.4123584435
60	0.4094033016
61	0.4064089753
62	0.4036309019
63	0.4005821732
64	0.3984175387
65	0.3967114013
66	0.3934827767
67	0.3899489407
68	0.3873909279
69	0.3841488341
70	0.3818288953
71	0.3784816837
72	0.3764666877
73	0.3728832026
74	0.3708120552
75	0.3687100397
76	0.3664482555
77	0.3642468224
78	0.3630368677
79	0.36126768
80	0.3587471337
81	0.3571885414
82	0.3554921457
83	0.3537103127
84	0.3517440566
85	0.3495587647
86	0.3475514488
87	0.3453821707
88	0.3436354432
89	0.3419795206
90	0.3405023627
91	0.3381800748
92	0.336563789
93	0.3351030609
94	0.3338818489
95	0.3326196707
96	0.331155052
97	0.3295127073
98	0.3276406149
99	0.3264293608
100	0.3249443313
101	0.3228848715
102	0.3209135903
103	0.3191083718
104	0.3176445132
105	0.3160171621
106	0.3145387594
107	0.3132094491
108	0.3116209588
109	0.3103484874
110	0.3091936701
111	0.3080018577
112	0.3070065629
113	0.3051718459
114	0.3042791735
115	0.3027566406
116	0.3012609189
117	0.2998909762
118	0.2983793249
119	0.297334875
120	0.2955982568
121	0.2942415986
122	0.2923588491
123	0.2915636035
124	0.2901502693
125	0.2889816712
126	0.2879431861
127	0.2863505265
128	0.2851819268
129	0.2842724657
130	0.2830122305
131	0.2821560321
132	0.280736614
133	0.2797562199
134	0.2787350445
135	0.2783813292
136	0.2770039081
137	0.2759251688
138	0.2750329547
139	0.2735782268
140	0.2723420451
141	0.2713455416
142	0.2702890114
143	0.2695344175
144	0.2687861686
145	0.267938167
146	0.2666456199
147	0.2661416804
148	0.2656981404
149	0.2645388984
150	0.2633735582
151	0.2621644817
152	0.2617975054
153	0.2603784379
154	0.2594642691
155	0.2586115666
156	0.2576998844
157	0.2569016572
158	0.2559067117
159	0.2548215119
160	0.2542332816
161	0.2530267325
162	0.2519287796
163	0.2510702433
164	0.2502889252
165	0.2496022857
166	0.248412648
167	0.2476564893
168	0.2464652074
169	0.2460959827
170	0.2452045931
171	0.244442886
172	0.2435284497
173	0.2426201664
174	0.2420467602
175	0.2411651244
176	0.2401209841
177	0.2396492559
178	0.2387985532
179	0.2381184293
180	0.2374552146
181	0.2370235345
182	0.2364182544
183	0.2352468583
184	0.2342950119
185	0.2330300521
186	0.2323920635
187	0.2315793867
188	0.2312320274
189	0.2304986463
190	0.2296640529
191	0.228824382
192	0.228388751
193	0.2276958562
194	0.2270289965
195	0.226532125
196	0.2259156487
197	0.2249361433
198	0.2241370194
199	0.2231998508
200	0.2221654306
201	0.2210557965
202	0.2203357032
203	0.2194422059
204	0.2188754211
205	0.2178340928
206	0.2171177664
207	0.2164643325
208	0.215873249
209	0.2153615723
210	0.2143651539
211	0.2137783339
212	0.2130458246
213	0.2124501832
214	0.2118225563
215	0.2109860217
216	0.210115522
217	0.2096365607
218	0.209172647
219	0.208472433
220	0.2079522404
221	0.2070988232
222	0.2066481799
223	0.2059449351
224	0.2052595178
225	0.2045881748
226	0.203849714
227	0.2031282554
228	0.2026270482
229	0.2021905357
230	0.2018043038
231	0.2013258436
232	0.2006344023
233	0.1997358172
234	0.1991495197
235	0.1984319814
236	0.1978919038
237	0.1970652282
238	0.1964490357
239	0.1957300605
240	0.1953693366
241	0.1946336801
242	0.194163516
243	0.1935256959
244	0.1928387057
245	0.1923986586
246	0.1919980853
247	0.1915763246
248	0.1910630689
249	0.1908470641
250	0.1905236932
251	0.1897963439
252	0.1893059032
253	0.1887515322
254	0.1883875829
255	0.1875745249
256	0.1871343954
257	0.1867166575
258	0.1860404666
259	0.1855934156
260	0.1851706901
261	0.1845971327
262	0.1841929601
263	0.1835998033
264	0.1830730094
265	0.1825329572
266	0.1822357402
267	0.1815389948
268	0.1808625881
269	0.1802130873
270	0.179957094
271	0.1794523486
272	0.1789416738
273	0.1784074522
274	0.1779982531
275	0.1774880984
276	0.177194862
277	0.1768488368
278	0.1763168398
279	0.1756725963
280	0.1750328433
281	0.1746067866
282	0.174093691
283	0.1733262422
284	0.1729600611
285	0.1724512128
286	0.1719612064
287	0.1712366846
288	0.1707268222
289	0.1704828374
290	0.1704155938
291	0.1701947248
292	0.1696156094
293	0.1693172667
294	0.1688918772
295	0.1687149332
296	0.1683732732
297	0.1678889839
298	0.1673363499
299	0.1670290044
300	0.1664494055
301	0.1660845556
302	0.1654614951
303	0.1650506805
304	0.1644361268
305	0.1638568034
306	0.1635568978
307	0.1631827864
308	0.1628363492
309	0.1623286273
310	0.1617852121
311	0.1612808499
312	0.1609973551
313	0.1605427019
314	0.1600542434
315	0.159478987
316	0.1592292316
317	0.1587707182
318	0.1582134504
319	0.1578700082
320	0.1575307072
321	0.1569918959
322	0.1566644077
323	0.1562341277
324	0.1557998792
325	0.1557558283
326	0.1552577323
327	0.1548875982
328	0.1547628893
329	0.1542831712
330	0.153994696
331	0.1536042994
332	0.1532553259
333	0.1528265863
334	0.1523713546
