Repetition,Algorithm,MCC,AUC,BA,F1,Recall,Specificity,Precision,PRAUC,Best_Params
0,LR_ElasticNet,0.7145252027247703,0.9247491638795986,0.8578595317725752,0.851063829787234,0.8695652173913043,0.8461538461538461,0.8333333333333334,0.9283655806367915,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.8}"
0,GNB,0.5359891902758825,0.9030100334448161,0.7474916387959867,0.7719298245614035,0.9565217391304348,0.5384615384615384,0.6470588235294118,0.8968942144646054,default
0,LDA,0.7953064913108095,0.9314381270903009,0.8963210702341138,0.8888888888888888,0.8695652173913043,0.9230769230769231,0.9090909090909091,0.935986821733666,default
0,RF,0.7207357859531772,0.951505016722408,0.8603678929765886,0.8571428571428571,0.9130434782608695,0.8076923076923077,0.8076923076923077,0.9568888459620725,"{'classifier__max_depth': 5, 'classifier__n_estimators': 100}"
0,LightGBM,0.6722408026755853,0.9113712374581939,0.8361204013377926,0.8260869565217391,0.8260869565217391,0.8461538461538461,0.8260869565217391,0.9046518473433851,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 50}"
0,XGBoost,0.6327220837212335,0.9130434782608696,0.8168896321070234,0.8085106382978723,0.8260869565217391,0.8076923076923077,0.7916666666666666,0.920474153730566,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}"
0,CatBoost,0.6327220837212335,0.9264214046822743,0.8168896321070234,0.8085106382978723,0.8260869565217391,0.8076923076923077,0.7916666666666666,0.92803458618676,"{'classifier__depth': 4, 'classifier__learning_rate': 0.01}"
0,LR_ElasticNet,0.6838936797839589,0.9040404040404041,0.8223905723905723,0.7894736842105263,0.6818181818181818,0.9629629629629629,0.9375,0.9160272044996467,"{'classifier__C': 0.1, 'classifier__l1_ratio': 0.2}"
0,GNB,0.4500904011951776,0.8417508417508417,0.7239057239057239,0.72,0.8181818181818182,0.6296296296296297,0.6428571428571429,0.8250943119734344,default
0,LDA,0.6838936797839589,0.8905723905723907,0.8223905723905723,0.7894736842105263,0.6818181818181818,0.9629629629629629,0.9375,0.9067197284583433,default
0,RF,0.6350596644266268,0.8636363636363636,0.8038720538720538,0.7692307692307693,0.6818181818181818,0.9259259259259259,0.8823529411764706,0.8827478349474916,"{'classifier__max_depth': 10, 'classifier__n_estimators': 100}"
0,LightGBM,0.5888292511776803,0.8367003367003367,0.7853535353535352,0.75,0.6818181818181818,0.8888888888888888,0.8333333333333334,0.849998597481989,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}"
0,XGBoost,0.5888292511776803,0.8299663299663299,0.7853535353535352,0.75,0.6818181818181818,0.8888888888888888,0.8333333333333334,0.8553717660859608,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 50}"
0,CatBoost,0.6350596644266268,0.8265993265993266,0.8038720538720538,0.7692307692307693,0.6818181818181818,0.9259259259259259,0.8823529411764706,0.8578293580583464,"{'classifier__depth': 6, 'classifier__learning_rate': 0.01}"
