Repetition,Algorithm,MCC,AUC,BA,F1,Recall,Specificity,Precision,PRAUC,Best_Params
0,LR_ElasticNet,0.754180602006689,0.9214046822742474,0.8770903010033444,0.8695652173913043,0.8695652173913043,0.8846153846153846,0.8695652173913043,0.9215421755129163,default
0,GNB,0.5359891902758825,0.9030100334448161,0.7474916387959867,0.7719298245614035,0.9565217391304348,0.5384615384615384,0.6470588235294118,0.8968942144646054,default
0,LDA,0.7953064913108095,0.9314381270903009,0.8963210702341138,0.8888888888888888,0.8695652173913043,0.9230769230769231,0.9090909090909091,0.935986821733666,default
0,RF,0.6761278203353551,0.9456521739130435,0.8386287625418061,0.8333333333333334,0.8695652173913043,0.8076923076923077,0.8,0.9536557041991824,default
0,LightGBM,0.6308760353014017,0.903010033444816,0.81438127090301,0.8,0.782608695652174,0.8461538461538461,0.8181818181818182,0.9121449261599934,default
0,XGBoost,0.6327220837212335,0.9197324414715718,0.8168896321070234,0.8085106382978723,0.8260869565217391,0.8076923076923077,0.7916666666666666,0.9320375480474417,default
0,CatBoost,0.7207357859531772,0.9297658862876255,0.8603678929765886,0.8571428571428571,0.9130434782608695,0.8076923076923077,0.8076923076923077,0.9283550324787955,default
0,LR_ElasticNet,0.7212588986562797,0.9107744107744108,0.8451178451178452,0.8205128205128205,0.7272727272727273,0.9629629629629629,0.9411764705882353,0.9266670560691459,default
0,GNB,0.4500904011951776,0.8417508417508417,0.7239057239057239,0.72,0.8181818181818182,0.6296296296296297,0.6428571428571429,0.8250943119734344,default
0,LDA,0.6838936797839589,0.8905723905723907,0.8223905723905723,0.7894736842105263,0.6818181818181818,0.9629629629629629,0.9375,0.9067197284583433,default
0,RF,0.6350596644266268,0.8636363636363636,0.8038720538720538,0.7692307692307693,0.6818181818181818,0.9259259259259259,0.8823529411764706,0.8816902667846604,default
0,LightGBM,0.5888292511776803,0.8367003367003367,0.7853535353535352,0.75,0.6818181818181818,0.8888888888888888,0.8333333333333334,0.849998597481989,default
0,XGBoost,0.5447893535834707,0.8316498316498318,0.7668350168350169,0.7317073170731707,0.6818181818181818,0.8518518518518519,0.7894736842105263,0.8587163066766648,default
0,CatBoost,0.6838936797839589,0.8484848484848484,0.8223905723905723,0.7894736842105263,0.6818181818181818,0.9629629629629629,0.9375,0.8726991556994617,default
0,LR_ElasticNet,0.680009255387445,0.9090909090909091,0.8216783216783217,0.7894736842105263,0.6818181818181818,0.9615384615384616,0.9375,0.9224495066335239,default
0,GNB,0.6055996170430269,0.8968531468531469,0.7762237762237763,0.7222222222222222,0.5909090909090909,0.9615384615384616,0.9285714285714286,0.8278125208318767,default
0,LDA,0.6301918419601026,0.8898601398601399,0.8024475524475525,0.7692307692307693,0.6818181818181818,0.9230769230769231,0.8823529411764706,0.8985263883384067,default
0,RF,0.6693419514856722,0.9055944055944056,0.8251748251748252,0.8,0.7272727272727273,0.9230769230769231,0.8888888888888888,0.9061504373810306,default
0,LightGBM,0.5405423894522708,0.8793706293706294,0.770979020979021,0.7555555555555555,0.7727272727272727,0.7692307692307693,0.7391304347826086,0.8951162798892862,default
